#{"t_start": 1764555172.557966, "env_id": "None"}
r,l,t
237.749844,92,117-13.371998,-124.372083,450,11786.599426
-12.208036,450,11810.888173
-20.456002,450,11835.257423
171.252013,450,11859.696014
241.054709,106,11865.52966
-3.731995,450,11890.013625
-11.415991,450,11914.447431
280.091209,131,11921.68456
29.372072,450,11946.485393
327.257576,156,11954.954408
251.796016,91,11959.958734
-104.429353,358,11979.601742
-13.2,450,12004.338932
-165.787168,366,12024.399337
12.552022,450,12048.816985
209.434681,70,12052.627693
-15.200004,450,12077.476198
-13.884011,450,12102.091069
288.037815,135,12109.561311
174.26001,450,12134.250802
-99.844449,282,12149.866025
-93.432446,138,12157.509689
212.085351,238,12170.440249
246.921556,121,12176.990055
-4.716001,450,12201.783113
-9.643995,450,12226.39784
308.304991,204,12237.544227
236.968014,91,12242.525938
265.484905,105,12248.409518
140.795993,46,12250.977552
-93.821334,196,12261.794675
251.773794,92,12266.893897
22.628477,170,12275.95137
288.404496,188,12286.080629
-97.611116,231,12298.701795
150.623106,32,12300.478463
-53.130185,110,12306.593199
87.521822,353,12325.82184
8.772069,450,12350.744355
311.345605,153,12359.118896
156.396878,33,12360.917621
383.120978,184,12370.948811
196.440462,62,12374.415001
195.134682,79,12378.830453
311.300037,154,12387.374919
-16.0,450,12412.180724
23.572068,450,12436.715789
244.236016,163,12445.876864
154.101327,40,12448.053461
284.73744,130,12455.183427
161.298206,36,12457.165537
17.16224,135,1246-129.13609264.83468,97,12469.9-13.843-10.556007,450,12494.7-13.843995,450,12515.434526
-1.120044,450,12540.077484
-1.316012,450,12564.531122
250.923569,93,12569.649738
297.100067,163,12578.484997
-18.756001,450,12602.912685
307.958236,180,12612.406376
43.619981,450,12636.527235
382.322227,198,12647.071943
196.41824,63,12650.64302
276.700067,181,12660.361232
159.952439,305,12676.743344
221.258267,63,12680.203183
127.068465,431,12703.395697
182.61824,54,12706.252788
-6.852027,450,12730.656604
126.984886,33,12732.420888
8.527998,450,12756.901084
-18.324017,450,12781.703413
-96.295963,262,12795.864608
167.732101,99,12801.238464
156.352433,35,12803.138575
-11.756006,450,12827.398258
-5.388001,450,12851.525133
182.805341,49,12854.244671
285.802696,187,12864.291455
294.113876,371,12884.399439
66.156018,450,12908.259672
-66.408044,450,12932.50149
141.018215,36,12934.486483
-60.524032,450,12958.968979
-7.843994,450,12983.116729
-51.768025,450,13007.263131
154.684881,51,13010.211124
311.011133,167,13019.240196
282.566733,187,13029.345938
149.772885,33,13031.142608
291.473791,191,13041.544551
-10.08401,450,13066.278754
-51.612034,450,13090.392074
-15.100001,450,13114.508908
154.101327,40,13116.662245
47.651939,450,13141.167974
228.736015,226,13153.402062
311.804105,172,13162.563412
154.123549,39,13164.828568
181.679126,59,13167.986011
