#{"t_start": 1763489288.3692653, "env_id": "None"}
r,l,t
-24.199204,240,2039.650864
-22.966159,240,2046.01874
119.543547,15,2046.476335
-1.435772,240,2052.974748
6.252576,240,2059.322882
101.482221,129,2062.78358
138.695828,36,2063.700011
127.358328,120,2067.046708
126.008724,32,2067.918597
110.702601,27,2068.556315
-14.483187,240,2074.93215
7.165385,240,2081.365546
122.15783,17,2081.805559
1.444764,240,2088.256745
-17.909352,240,2094.611056
139.023611,46,2095.820829
148.331016,39,2096.884151
-3.15003,240,2103.305209
132.160866,23,2103.920532
130.473694,26,2104.63875
148.309366,103,2107.334817
131.842319,23,2107.985147
137.595246,41,2109.058339
125.202366,18,2109.590459
-11.435406,240,2115.921947
85.772298,17,2116.345146
107.602221,24,2117.049636
138.765461,36,2117.940931
94.667906,20,2118.482793
105.951164,20,2119.024013
158.214645,48,2120.237295
96.414689,22,2120.867852
-12.071805,240,2127.051629
-31.154408,240,2133.291702
130.785637,34,2134.10624
3.010084,240,2140.177296
144.500345,48,2141.413181
-11.519911,240,2147.533634
123.896629,28,2148.307076
133.131581,31,2149.105923
119.525203,15,2149.547904
130.106945,41,2150.537953
136.957596,39,2151.617182
2.873619,240,2157.869181
-1.539339,240,2164.041086
112.651769,35,2164.981439
142.115758,32,2165.802842
138.780374,44,2166.968192
134.309276,45,2168.143681
132.765908,218,2173.920017
-2.516854,240,2180.014688
-12.914049,240,2186.284389
117.369979,24,2186.872437
107.35084,18,2187.321913
128.919371,21,2187.901379
102.532308,25,2188.5065
129.366707,21,2189.092891
158.439515,106,2191.910014
112.777975,35,2192.775616
120.753285,37,2193.77585
161.881329,134,2197.257398
-26.923287,240,2203.586256
116.630326,23,2204.154842
151.63034,54,2205.530047
112.574158,20,2206.026337
129.651127,29,2206.850221
-9.914523,240,2213.222343
97.866851,12,2213.641964
71.710496,17,2214.08455
-12.50701,240,2220.750748
169.319334,136,2224.290437
119.257624,15,2224.714559
158.663974,66,2226.459723
125.390373,49,2227.77332
131.355545,51,2229.093376
97.567337,20,2229.651404
137.061172,32,2230.476557
-63.73697,126,2233.872087
109.299158,17,2234.314396
117.501374,34,2235.238848
-2.359445,240,2241.468764
109.376235,18,2241.920959
142.511858,41,2243.018444
145.05819,47,2244.252288
119.039306,20,2244.759524
121.828137,17,2245.209732
130.640972,35,2246.205283
110.218902,18,2246.683191
138.682863,44,2247.901358
-11.653199,240,2254.108884
4.954295,240,2260.420108
106.154799,28,2261.178415
104.332119,23,2261.759688
109.680638,30,2262.615855
135.575649,27,2263.286998
106.048186,18,2263.719643
47.138599,22,2264.34686
156.832887,60,2265.931233
108.386897,39,2266.94054
11.631907,240,2273.318934
127.264647,59,2274.900163
135.652447,27,2275.553626
130.039131,42,2276.864933
102.850877,25,2277.516291
88.02047,133,2281.081648
135.826258,54,2282.577992
116.913708,17,2283.010699
127.70907,32,2283.852826
132.743912,39,2284.882303
115.303563,37,2285.937288
159.746444,72,2287.993608
117.998667,23,2288.589981
-0.758737,240,2294.997101
81.05115,17,2295.443235
7.074109,240,2301.931103
137.111255,48,2303.189639
123.1892,30,2303.987493
152.765466,68,2305.845827
97.741775,23,2306.469581
-5.397508,240,2312.963984
-2.761922,240,2319.44646
97.292419,20,2320.02161
116.374357,23,2320.636775
137.891215,99,2323.425289
93.102284,18,2323.913322
-9.336974,240,2330.390091
5.497504,240,2336.830817
97.752579,18,2337.291101
110.230258,18,2337.830197
-14.191952,240,2344.294403
129.42124,21,2344.920931
120.347114,38,2345.882381
12.331653,240,2352.547482
172.729037,93,2355.00685
151.859272,42,2356.169717
125.991129,45,2357.322202
122.679775,16,2357.806549
5.445167,240,2364.12932
21.957874,152,2368.258388
115.226477,14,2368.721014
143.330573,46,2369.918212
-13.771599,240,2376.361604
134.321527,39,2377.397986
119.710602,26,2378.101654
131.966707,23,2378.699993
6.030839,240,2385.227133
138.370573,29,2385.944609
-7.887055,240,2392.433824
151.955963,51,2393.839863
83.852722,51,2395.129452
113.955961,22,2395.768794
1.124267,240,2402.431366
126.122846,19,2402.921441
3.900919,240,2409.390513
-19.126298,240,2415.884564
149.982789,53,2417.281241
128.935982,21,2417.809934
103.215063,18,2418.250234
-16.171503,240,2424.737418
-16.499258,240,2431.154223
-0.522595,240,2437.555004
-19.482629,84,2439.787778
114.002132,29,2440.600712
128.70871,29,2441.353254
76.186221,17,2441.842636
128.804272,36,2442.896414
